name,description_semantique,ingredients,instructions,category,difficulty,prep_time,taste_profile
Brooklyn Fizz,Creation equilibre associant Cognac et Jus de pamplemousse avec elegance. Triple Sec complete ce tableau gustatif. Profil gustatif marque par raisin et une touche de fruit sec. Pour les amateurs de nouveaute.,"[""60ml Cognac"", ""90ml Jus de pamplemousse"", ""15ml Triple Sec"", ""Rondelle de citron vert""]","1. Dans un shaker, piler delicatement les ingredients frais 2. Ajouter les alcools et la glace 3. Shaker vigoureusement pendant 10 secondes 4. Filtrer dans un verre refroidi 5. Garnir avec rondelle de citron vert",Digestif,Facile,4,"{""Douceur"": 3.4, ""Acidite"": 2.8, ""Amertume"": 2.9, ""Force"": 4.8, ""Fraicheur"": 3.0}"
Miami Sour,Un melange sophistique et intense de Cachaca avec Eau gazeuse. Le Grand Marnier ajoute une dimension olfactive. Equilibre parfait entre frais et frais. Recommande pour les diners romantiques.,"[""60ml Cachaca"", ""45ml Eau gazeuse"", ""25ml Grand Marnier"", ""Zeste de citron"", ""Glacons"", ""Sucre de canne""]",1. Verser le premier ingredient au fond du verre 2. Utiliser le dos d'une cuillere pour superposer chaque couche 3. Proceder lentement pour preserver les couches distinctes 5. Garnir avec zeste de citron,Digestif,Difficile,7,"{""Douceur"": 2.3, ""Acidite"": 1.5, ""Amertume"": 2.2, ""Force"": 3.8, ""Fraicheur"": 2.5}"
The Tropical Mirage,Decouvrez ce cocktail sophistique ou le Rhum ambre rencontre le Jus de pomme dans une danse de saveurs. Sirop simple apporte la touche finale. Attaque vive suivie de notes de boise.,"[""60ml Rhum ambre"", ""60ml Jus de pomme"", ""30ml Sirop simple"", ""Quartier de fraise"", ""Glacons""]",1. Combiner les ingredients dans le verre 2. Melanger et servir 5. Garnir selon votre preference,Refreshing,Facile,4,"{""Douceur"": 5.0, ""Acidite"": 1.9, ""Amertume"": 2.5, ""Force"": 4.5, ""Fraicheur"": 3.2}"
The Rustic Leaf,"Un elegant voyage sensoriel avec Rhum brun comme guide, Cola comme compagnon et Baileys comme destination. Sensation complexe avec des accents de epice.","[""45ml Rhum brun"", ""30ml Cola"", ""25ml Baileys"", ""Zeste de pamplemousse"", ""Glacons"", ""Sel de celeri""]",1. Ajouter tous les ingredients dans un shaker avec de la glace 2. Shaker energiquement pendant 15 secondes 3. Filtrer dans le verre de service 5. Garnir avec zeste de pamplemousse,Strong,Difficile,7,"{""Douceur"": 4.3, ""Acidite"": 1.9, ""Amertume"": 3.4, ""Force"": 5.0, ""Fraicheur"": 4.3}"
The Atlantic Rain,"Ce modern equilibre combine harmonieusement Whisky scotch et Puree de fraise, avec une touche de Chartreuse verte. Notes dominantes de tourbe avec une finale persistante. Ideal pour une pause rafraichissante.","[""60ml Whisky scotch"", ""60ml Puree de fraise"", ""30ml Chartreuse verte"", ""Quartier de fraise"", ""Glacons""]","1. Dans un shaker, piler delicatement les ingredients frais 2. Ajouter les alcools et la glace 3. Shaker vigoureusement pendant 10 secondes 4. Filtrer dans un verre refroidi 5. Garnir selon votre preference",Modern,Difficile,4,"{""Douceur"": 3.1, ""Acidite"": 1.5, ""Amertume"": 2.7, ""Force"": 4.1, ""Fraicheur"": 1.9}"
Tokyo Vintage,"Gin forme la base de ce cocktail equilibre, enrichi par Jus de raisin et Chartreuse verte. Equilibre parfait entre herbes et herbes. Une experience exceptionnelle a chaque gorgee.","[""60ml Gin"", ""30ml Jus de raisin"", ""15ml Chartreuse verte"", ""Cerise au marasquin"", ""Glacons"", ""Angostura bitters""]",1. Shaker tous les ingredients sans glace pendant 10 secondes 2. Ajouter la glace et shaker a nouveau 15 secondes 3. Double filtrer dans le verre 5. Garnir avec cerise au marasquin,Aperitif,Moyen,8,"{""Douceur"": 3.1, ""Acidite"": 1.5, ""Amertume"": 2.4, ""Force"": 3.9, ""Fraicheur"": 2.1}"
The Dark Storm,"Ce strong delicat combine harmonieusement Tequila reposado et Eau de rose, avec une touche de Sirop d'orgeat. Equilibre parfait entre boise et boise. Ideal pour un moment de relaxation.","[""60ml Tequila reposado"", ""30ml Eau de rose"", ""25ml Sirop d'orgeat"", ""Rondelle de citron vert""]",1. Remplir le verre de glacons 2. Verser les ingredients directement dans le verre 3. Melanger doucement 5. Garnir avec rondelle de citron vert,Strong,Facile,4,"{""Douceur"": 3.5, ""Acidite"": 1.5, ""Amertume"": 1.6, ""Force"": 4.2, ""Fraicheur"": 3.2}"
Oriental Horizon,Une creation elegant ou le Cognac dialogue avec Jus de pomme. Midori orchestre cette rencontre. Profil gustatif marque par fruit sec et une touche de chene. Emotion subtile garantie.,"[""60ml Cognac"", ""30ml Jus de pomme"", ""15ml Midori"", ""Tranche d'ananas""]",1. Verser le premier ingredient au fond du verre 2. Utiliser le dos d'une cuillere pour superposer chaque couche 3. Proceder lentement pour preserver les couches distinctes 5. Garnir avec tranche d'ananas,Strong,Facile,7,"{""Douceur"": 4.7, ""Acidite"": 2.2, ""Amertume"": 3.3, ""Force"": 4.3, ""Fraicheur"": 1.8}"
Santorini Midnight,Harmonie elegant entre Whisky scotch vigoureux et Creme de coco delicat. Blue Curacao ajoute une touche finale. Attaque douce suivie de notes de malt. Pour les amateurs de saveurs authentiques.,"[""45ml Whisky scotch"", ""60ml Creme de coco"", ""20ml Blue Curacao"", ""Baton de cannelle"", ""Glacons""]",1. Placer les ingredients dans un verre a melange avec glace 2. Remuer delicatement a la cuillere pendant 30 secondes 3. Filtrer dans un verre refroidi 5. Garnir selon votre preference,Classic,Difficile,5,"{""Douceur"": 3.9, ""Acidite"": 1.5, ""Amertume"": 2.6, ""Force"": 4.0, ""Fraicheur"": 3.4}"
Acapulco Mule,Un melange audacieux et harmonieux de Cachaca avec Jus de mangue. Le Baileys ajoute une dimension olfactive. Palette aromatique riche en herbe et vegetal. Recommande pour les diners romantiques.,"[""60ml Cachaca"", ""45ml Jus de mangue"", ""25ml Baileys"", ""Rondelle d'orange"", ""Glacons""]",1. Shaker tous les ingredients sans glace pendant 10 secondes 2. Ajouter la glace et shaker a nouveau 15 secondes 3. Double filtrer dans le verre 5. Garnir avec rondelle d'orange,Tiki,Facile,9,"{""Douceur"": 5.0, ""Acidite"": 1.5, ""Amertume"": 1.9, ""Force"": 4.4, ""Fraicheur"": 2.4}"
